Ticker,EPS,P/E Ratio,PEG Ratio,P/B Ratio,ROE,Free Cash Flow,Operating Margin,EBITDA
ABEV,0.18,11.944445,4.66,0.4287994,0.16227,11581832192.0,0.2017,23430197248.0
ACGL,9.04,10.621681,0.55,1.677674,0.30441,7394250240.0,0.24947001,5171999744.0
AFG,11.95,10.68703,4.48,2.4440234,0.21273,597875008.0,0.16022,1335000064.0
AFYA,1.71,10.0409355,11.57,0.38902482,0.15281,223090496.0,0.28499,1094663936.0
AMG,25.07,7.730754,0.62,1.9317638,0.18146,534750016.0,0.34859002,721800000.0
APA,3.45,6.692754,10.6,1.5746045,0.7938,1476625024.0,0.40894002,5416999936.0
APTV,7.6,7.417105,0.33,1.4913882,0.24212,1054374976.0,0.11022,3032999936.0
ARLP,3.47,7.599424,-1.09,1.7742045,0.24607,92782752.0,0.16472,761699008.0
ASC,2.47,5.6842103,0.1,0.95102626,0.25116,48536248.0,0.41171002,173902000.0
ASO,6.91,7.332851,0.58,1.8404707,0.26403,311623872.0,0.12272,749851008.0
ASR,18.32,14.121725,7.65,1.5432106,0.24239,6665992192.0,0.54750997,18897119232.0
ATKR,11.72,7.3737197,-2.36,1.9848415,0.36486998,274171488.0,0.20451,830500992.0
AZN,5.49,13.009108,1.08,2.8016632,0.16736999,9822874624.0,0.22415,16972999680.0
BERY,8.18,8.628362,1.45,2.399456,0.16395001,811875008.0,0.10345,1972999936.0
BTU,2.71,9.771217,-0.42,1.03031,0.15771,91550000.0,0.12325,912099968.0
CAAP,2.33,7.888412,0.39,2.3588295,0.30565,300439136.0,0.22309999,588956032.0
CB,23.49,11.809707,6.53,1.7002851,0.16125,13009625088.0,0.19610001,11363000320.0
CE,12.41,10.057212,0.73,1.9030266,0.28254,1070124992.0,0.11958,1871000064.0
CF,5.8,14.493103,-1.19,2.8872707,0.1792,1528625024.0,0.26496,2651000064.0
CHX,2.06,13.567962,0.94,2.9349997,0.18280001,520135744.0,0.13424,752126016.0
CMCSA,4.39,9.922552,1.32,1.9472507,0.16884,20999000064.0,0.18269,37285998592.0
CMRE,2.8,4.903571,-0.2,0.6821682,0.15285,84637504.0,0.24791999,595337984.0
CNQ,2.6,13.03077,-25.93,1.798397,0.19099002,8580250112.0,0.31991,16433999872.0
COP,8.19,13.167277,2.74,2.4882324,0.20376,7396250112.0,0.24269,24441999360.0
CRI,4.99,10.825652,-8.63,2.347471,0.28551,223749120.0,0.101569995,366744992.0
CSV,2.55,14.466666,1.07,2.7949085,0.1933,50667124.0,0.23125,110280000.0
CTSH,5.0,14.922,2.56,2.5606618,0.16478,1638625024.0,0.15285,3468999936.0
DDI,2.25,6.4666667,0.55,0.91705537,0.15907,75937752.0,0.41018,134796992.0
DHI,16.19,10.35454,1.42,2.1459568,0.19631,5300874752.0,0.16636999,6202899968.0
DHT,1.72,5.9883723,0.99,1.6021155,0.15001,35974124.0,0.34432998,293148992.0
DVN,5.22,7.3409963,1.26,1.9173421,0.29691,1946499968.0,0.30517998,7464999936.0
EC,1.77,4.293785,-0.73,0.0042378767,0.20503001,12177076387840.0,0.2928,54681627787264.0
EGY,0.58,9.034483,3.76,1.1013031,0.18185,155872496.0,0.17688999,281820992.0
ENS,9.75,9.989744,0.78,2.167913,0.15591,287211136.0,0.11389,503014016.0
EOG,11.08,10.9061365,1.43,2.359465,0.27056998,3723000064.0,0.35377,13500000256.0
EQNR,2.93,7.9453926,3.25,1.4486622,0.20268999,15778549760.0,0.26629,38769000448.0
FANG,17.06,10.305393,1.67,1.7975379,0.21341999,1067124992.0,0.50105,6733000192.0
FHI,4.1,9.887805,1.39,2.9157078,0.23455,264079744.0,0.27357,373100992.0
FINV,1.48,4.0135136,18.67,0.110081546,0.15909,5573426688.0,0.55212003,7085454848.0
FMC,4.67,13.522484,1.32,1.7108722,0.38454,600187520.0,0.14849,703299968.0
G,3.38,11.343195,1.42,2.9222562,0.30339,341629632.0,0.14475,752281984.0
GHG,0.5,5.8598,14.41,0.19143416,0.16280001,230985376.0,0.25601998,476621216.0
GMAB,1.64,13.756098,0.75,0.04623301,0.18552,5586749952.0,0.33617002,6463000064.0
GSL,9.44,2.548729,0.2,0.637351,0.27632,278990752.0,0.54089,454639008.0
HAL,3.42,8.093567,0.82,2.4441502,0.28903,1883000064.0,0.17692,5160000000.0
HDSN,0.85,8.729412,0.44,1.3582281,0.15941,55825248.0,0.17,59348000.0
HIG,11.62,9.474182,0.87,1.9201186,0.19740999,4215875072.0,0.14918,4254000128.0
HLIT,0.92,11.913043,0.27,2.976643,0.22069,27412624.0,0.19825001,64685000.0
HMY,1.45,7.2896547,0.51,0.16070911,0.22915001,4889874944.0,0.23087999,18773000192.0
