Ticker,EPS,P/E Ratio,PEG Ratio,P/B Ratio,ROE,P/B Ratio,Operating Margin,EBITDA,Industry
AAPL,8.34,26.727818,2.86,59.17441,1.5741299,59.17441,0.31171,134660997120.0,Consumer Electronics
T,2.24,9.875,-102.0,1.5505399,0.08759,1.5505399,0.23618999,42773000192.0,Telecom Services
GOOG,8.92,19.355381,0.99,6.740717,0.32101002,6.740717,0.32312,123469996032.0,Internet Content & Information
AA,3.19,12.717868,0.76,1.791249,-0.07142,1.791249,0.092980005,1057000000.0,Aluminum
BABA,9.87,9.886525,64.06,0.24737617,0.05668,0.24737617,0.16089001,176592994304.0,Internet Retail
AMAT,9.69,18.924665,1.48,8.024329,0.4391,8.024329,0.28652,8204000256.0,Semiconductor Equipment & Materials
AMGN,20.65,15.458596,2.9,22.794916,0.5572,22.794916,0.24156,12247000064.0,Drug Manufacturers - General
AIG,6.84,11.070175,0.6,1.1071633,0.08733,1.1071633,0.14224,9004000256.0,Insurance - Diversified
ALL,18.39,10.013595,0.07,2.5852869,0.23783001,2.5852869,0.093219995,6192999936.0,Insurance - Property & Casualty
ADBE,20.55,23.493917,1.88,14.771301,0.35355,14.771301,0.36834,8134000128.0,Software - Infrastructure
GOOGL,8.93,19.18141,0.98,6.687619,0.32101002,6.687619,0.32312,123469996032.0,Internet Content & Information
ACN,14.07,24.567877,2.78,7.640467,0.26674998,7.640467,0.14597,11065912320.0,Information Technology Services
MT,4.01,6.1296754,0.68,0.36979643,-0.00961,0.36979643,0.06437,4551000064.0,Steel
LLY,23.11,35.436172,0.87,51.74913,0.65318,51.74913,0.39773998,16566500352.0,Drug Manufacturers - General
APA,3.45,6.692754,10.6,1.5746045,0.7938,1.5746045,0.40894002,5416999936.0,Oil & Gas E&P
ADP,10.85,26.560368,3.23,21.966612,0.87263,21.966612,0.26488,5733100032.0,Software - Application
AKAM,6.85,14.681752,2.38,3.2132018,0.13906,3.2132018,0.15471,1122247040.0,Software - Infrastructure
ADSK,9.18,31.216776,3.01,24.903973,0.57445997,24.903973,0.23653999,1396000000.0,Software - Application
ADM,5.29,10.328922,-1.92,1.1792382,0.1075,1.1792382,0.0222,3988000000.0,Farm Products
WBA,1.47,6.4353743,-0.35,0.7825296,-0.75969005,0.7825296,0.02349,2884000000.0,Pharmaceutical Retailers
PANW,7.2,50.36667,4.07,22.80468,0.74517995,22.80468,0.119799994,1094400000.0,Software - Infrastructure
AMD,5.16,27.492249,1.31,4.0403295,0.03262,4.0403295,0.10617,4479000064.0,Semiconductors
AVGO,6.17,27.377632,1.77,2.8523664,0.12509,2.8523664,0.31765,22958000128.0,Semiconductors
EA,8.39,18.028605,1.54,5.390399,0.13962,5.390399,0.21975,1910000000.0,Electronic Gaming & Multimedia
AEM,4.73,18.139536,-30.67,2.098518,0.05006,2.098518,0.40647998,4203645952.0,Gold
APD,13.31,23.231403,4.03,4.5520253,0.16211,4.5520253,0.23798001,4200199936.0,Specialty Chemicals
AMBA,-0.18,-321.49997,4.46,4.3619504,-0.30462,4.3619504,-0.56944,-145888000.0,Semiconductor Equipment & Materials
NVS,8.38,13.048925,1.85,5.047078,0.28786,5.047078,0.33738,20893999104.0,Drug Manufacturers - General
LULU,14.93,21.511723,2.42,9.856377,0.43159,9.856377,0.22784,2699964928.0,Apparel Retail
ARRY,0.92,7.2826085,3.05,5.0873194,0.11808,5.0873194,0.14116,158440992.0,Solar
A,5.65,24.224777,5.08,6.6668286,0.24658,6.6668286,0.24968,1564000000.0,Diagnostics & Research
AN,18.57,8.414109,0.37,2.6124833,0.32007998,2.6124833,0.046040002,1506899968.0,Auto & Truck Dealerships
